(Grupo Terrorista, Quantidade de Ataques)
-------------------------------------------------------------------
('Unknown', 71922)
('Taliban', 5502)
('Shining Path (SL)', 4548)
('Farabundo Marti National Liberation Front (FMLN)', 3351)
('Islamic State of Iraq and the Levant (ISIL)', 2833)
('Irish Republican Army (IRA)', 2670)
('Revolutionary Armed Forces of Colombia (FARC)', 2474)
("New People's Army (NPA)", 2241)
('Al-Shabaab', 2127)
('Basque Fatherland and Freedom (ETA)', 2024)
('Boko Haram', 1839)
("Kurdistan Workers' Party (PKK)", 1782)
('Communist Party of India - Maoist (CPI-Maoist)', 1666)
('Liberation Tigers of Tamil Eelam (LTTE)', 1606)
('National Liberation Army of Colombia (ELN)', 1418)
('Tehrik-i-Taliban Pakistan (TTP)', 1153)
('Maoists', 1141)
('Palestinians', 1124)
('Nicaraguan Democratic Force (FDN)', 895)
('Al-Qaida in the Arabian Peninsula (AQAP)', 893)
('Manuel Rodriguez Patriotic Front (FPMR)', 830)
('Sikh Extremists', 714)
('Corsican National Liberation Front (FLNC)', 639)
('Al-Qaida in Iraq', 635)
('African National Congress (South Africa)', 606)
("Donetsk People's Republic", 600)
('Tupac Amaru Revolutionary Movement (MRTA)', 557)
('Huthi Extremists', 554)
('M-19 (Movement of April 19)', 554)
('Unaffiliated Individual(s)', 545)
('Separatists', 498)
('Other', 463)
('Muslim Fundamentalists', 455)
("People's Liberation Front (JVP)", 433)
('National Union for the Total Independence of Angola (UNITA)', 431)
('Abu Sayyaf Group (ASG)', 402)
('Hezbollah', 396)
('Hamas (Islamic Resistance Movement)', 385)
('Algerian Islamic Extremists', 373)
('Narco-Terrorists', 368)
('Moro Islamic Liberation Front (MILF)', 357)
('Protestant Extremists', 333)
('Chechen Rebels', 327)
('Death Squad', 326)
('United Liberation Front of Assam (ULFA)', 314)
('Movement of the Revolutionary Left (MIR) (Chile)', 306)
('Muslim Militants', 294)
('Gunmen', 280)
("Lord's Resistance Army (LRA)", 279)
('Baloch Republican Army (BRA)', 277)
('Fulani Militants', 277)
('Bangsamoro Islamic Freedom Movement (BIFM)', 267)
('Ulster Volunteer Force (UVF)', 267)
('Popular Liberation Army (EPL)', 260)
("Al-Gama'at al-Islamiyya (IG)", 259)
('Ulster Freedom Fighters (UFF)', 257)
('Dev Sol', 252)
('Mozambique National Resistance Movement (MNR)', 243)
('Al-Qaida in the Islamic Maghreb (AQIM)', 237)
('Armed Islamic Group (GIA)', 236)
('Neo-Nazi Group', 233)
('Nicaraguan Resistance', 231)
('Palestinian Extremists', 226)
('Red Brigades', 218)
('Tamils', 217)
('Salafist Group for Preaching and Fighting (GSPC)', 214)
('Al-Nusrah Front', 210)
('First of October Antifascist Resistance Group (GRAPO)', 210)
('Sandinista National Liberation Front (FSLN)', 209)
("Luhansk People's Republic", 206)
('Simon Bolivar Guerrilla Coordinating Board (CGSB)', 206)
('Moro National Liberation Front (MNLF)', 196)
('Islamist Extremists', 194)
('Armenian Secret Army for the Liberation of Armenia', 186)
('Palestinian Islamic Jihad (PIJ)', 185)
('Palestine Liberation Organization (PLO)', 175)
('Left-Wing Militants', 173)
('Sinai Province of the Islamic State', 172)
('Anti-Abortion Activists', 171)
('Janjaweed', 171)
('Muttahida Qami Movement (MQM)', 170)
('Al-Aqsa Martyrs Brigade', 169)
('Hutus', 167)
('National Democratic Front of Bodoland (NDFB)', 167)
("People's Liberation Forces (FPL)", 167)
('Muslim Separatists', 163)
('Khmer Rouge', 160)
('Guerrilla Army of the Poor (EGP)', 157)
('Islamic Salvation Front (FIS)', 153)
('Popular Front for the Liberation of Palestine (PFLP)', 150)
('Baloch Liberation Army (BLA)', 145)
('Islamic State of Iraq (ISI)', 144)
('Tripoli Province of the Islamic State', 144)
('Garo National Liberation Army', 143)
('Lashkar-e-Taiba (LeT)', 142)
('Democratic Revolutionary Alliance (ARDE)', 141)
('Hizbul Mujahideen (HM)', 140)
('Allied Democratic Forces (ADF)', 135)
('Guatemalan National Revolutionary Unity (URNG)', 131)
('Corsican National Liberation Front- Historic Channel', 128)
('Left-Wing Guerrillas', 127)
('Baloch Liberation Front (BLF)', 125)
('Irish National Liberation Army (INLA)', 122)
('Muslim Brotherhood', 122)
('Fuerzas Armadas de Liberacion Nacional (FALN)', 120)
('Runda Kumpulan Kecil (RKK)', 118)
('Revolutionary Organization of People in Arms (ORPA)', 117)
('Free Aceh Movement (GAM)', 116)
('Montoneros (Argentina)', 116)
('Animal Liberation Front (ALF)', 115)
('Lashkar-e-Islam (Pakistan)', 112)
('Mujahedin-e Khalq (MEK)', 112)
('November 17 Revolutionary Organization (N17RO)', 112)
('The Extraditables', 109)
('United Popular Action Movement', 109)
('Tribesmen', 103)
('Lashkar-e-Jhangvi', 100)
('Opposition Group', 99)
('Shanti Bahini - Peace Force', 99)
("People's War Group (PWG)", 97)
('Contras', 93)
('Irish Republican Extremists', 93)
('Pro Hartal Activists', 92)
('Black Nationalists', 91)
('Barqa Province of the Islamic State', 89)
('Karen National Union', 88)
("Revolutionary People's Struggle (ELA)", 88)
('Bodo Militants', 87)
('New World Liberation Front (NWLF)', 86)
('Ejercito Revolucionaria del Pueblo (ERP) (Argentina)', 85)
('Movement for the Emancipation of the Niger Delta (MEND)', 83)
('Uighur Separatists', 83)
('Jewish Defense League (JDL)', 82)
('Bangladesh Nationalist Party (BNP)', 80)
('Movement of Democratic Forces of Casamance', 79)
("People's Liberation Army (India)", 79)
('Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)', 78)
('Khorasan Chapter of the Islamic State', 78)
('Militants', 77)
('National Liberation Front of Tripura (NLFT)', 77)
('Haqqani Network', 76)
('Kashmiri Militants', 76)
('Communists', 75)
('Jemaah Islamiya (JI)', 75)
('Student Radicals', 74)
('United Baloch Army (UBA)', 74)
('Resistenza', 73)
('Anarchists', 72)
('Earth Liberation Front (ELF)', 72)
('Ansar Bayt al-Maqdis (Ansar Jerusalem)', 71)
('Democratic Front for the Liberation of Rwanda (FDLR)', 70)
('Dissident Republicans', 70)
('Free Syrian Army', 69)
("Turkish People's Liberation Army", 69)
('Naxalites', 67)
('Red Army Faction (RAF)', 67)
('United Self Defense Units of Colombia (AUC)', 67)
('White Extremists', 66)
('Jamaat-E-Islami (Bangladesh)', 65)
('Revolutionary United Front (RUF)', 65)
('National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)', 64)
("People's Revolutionary Army (ERP) (El Salvador)", 64)
('Corsican Separatists', 63)
("South-West Africa People's Organization (SWAPO)", 63)
('Ansar al-Sharia (Libya)', 62)
('Ricardo Franco Front (Dissident FARC)', 62)
('Terra Lliure', 62)
('Chukakuha (Middle Core Faction)', 61)
('Recontras', 61)
('Al-Qaida', 59)
('Gurkha National Liberation Front (GNLF)', 59)
('Revolutionary Cells', 59)
('Southern Mobility Movement (Yemen)', 59)
('Terrorists', 59)
('Prima Linea', 58)
('Thai Islamic Militants', 58)
('Iparretarrak (IK)', 57)
('Kosovo Liberation Army (KLA)', 57)
('Al-Fatah', 56)
('Baader-Meinhof Group', 56)
('Action Directe', 55)
('Jammu and Kashmir Liberation Front', 55)
('Omega-7', 55)
('Sindhu Desh Liberation Army (SDLA)', 55)
('Anti-Balaka Militia', 53)
('Right-Wing Extremists', 53)
('Conspiracy of Cells of Fire', 52)
("Paraguayan People's Army (EPP)", 52)
("Sudan People's Liberation Movement - North", 52)
('Abu Nidal Organization (ANO)', 51)
('Guerrillas', 51)
('Moslem Activists', 51)
('Inkatha Freedom Party (IFP)', 50)
('Left-Wing Terrorists', 50)
('Movement for Oneness and Jihad in West Africa (MUJAO)', 50)
('Tawhid and Jihad', 50)
('Black September', 49)
('Revolutionary Patriotic Anti-Fascist Front (FRAP)', 49)
('Muslim Rebels', 48)
('Strikers', 48)
