iyear,imonth,iday,country,latitude,longitude,attacktype1,targtype1,natlty1,gname,weaptype1,nkill,nkillter,nwound,nwoundte,ishostkid,nhostkid,ransom,ransomamt,ransompaid
1970,1,31,160,15.675051,120.331618,9,4,217,New People's Army (NPA),13,0,,1,,0,,0,,
1970,4,2,160,15.185916,120.54187,9,4,217,New People's Army (NPA),13,2,,0,,0,,0,,
1970,6,26,603,54.99451,-7.319996,2,17,233,Irish Republican Army (IRA),8,5,3,,,0,,0,,
1970,6,27,603,54.99451,-7.319996,2,14,233,Irish Republican Army (IRA),5,3,,,,0,,0,,
1970,6,27,603,54.597269,-5.930109,2,14,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1970,6,27,603,54.597269,-5.930109,2,14,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1970,8,11,603,54.077313,-6.608787,3,3,233,Irish Republican Army (IRA),6,2,,,,0,,0,,
1970,9,4,603,54.597269,-5.930109,3,17,233,Irish Republican Army (IRA),6,1,1,,,0,,0,,
1970,11,16,603,54.597269,-5.930109,2,14,233,Irish Republican Army (IRA),5,2,,,,0,,0,,
1970,12,1,185,43.320812,-1.984447,6,7,75,Basque Fatherland and Freedom (ETA),13,0,,0,,1,1,1,0,
1971,1,27,603,54.597269,-5.930109,1,14,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,2,6,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,2,9,603,54.452223,-7.486124,3,4,216,Irish Republican Army (IRA),6,5,,,,0,,0,,
1971,2,15,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,2,26,603,54.597269,-5.930109,1,3,233,Irish Republican Army (IRA),5,2,,,,0,,0,,
1971,3,0,160,,,3,4,217,New People's Army (NPA),6,0,,0,,0,,0,,
1971,3,10,603,54.625869,-5.982754,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,5,8,185,43.320812,-1.984447,6,7,69,Basque Fatherland and Freedom (ETA),13,,,,,1,1,1,0,
1971,5,25,603,54.597269,-5.930109,3,4,216,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,5,29,185,43.320812,-1.984447,6,7,69,Basque Fatherland and Freedom (ETA),13,0,,0,,1,1,0,,
1971,7,12,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,7,14,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,8,8,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,8,9,603,54.794595,-7.539339,1,4,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,8,10,603,54.99451,-7.319996,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,8,25,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,8,25,603,54.597269,-5.930109,3,1,233,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,8,29,603,54.077313,-6.608787,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,8,30,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,3,603,54.22641,-7.649053,1,4,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,3,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,9,603,54.552254,-6.086832,3,4,216,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,9,14,603,54.531707,-6.737144,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,14,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,16,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,17,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,18,603,54.823432,-7.468374,1,3,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,28,603,54.99451,-7.319996,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,9,29,603,54.597269,-5.930109,3,1,233,Irish Republican Army (IRA),6,2,,,,0,,0,,
1971,9,30,603,54.99451,-7.319996,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,1,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,2,603,54.530989,-6.02939,3,21,233,Irish Republican Army (IRA),6,1,1,,,0,,0,,
1971,10,3,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,15,603,54.597269,-5.930109,1,3,233,Irish Republican Army (IRA),5,2,,,,0,,0,,
1971,10,15,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,16,603,54.99451,-7.319996,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,17,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,23,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,24,603,54.597269,-5.930109,3,1,233,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,10,26,603,54.597269,-5.930109,1,14,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,10,27,603,54.99451,-7.319996,3,4,216,Irish Republican Army (IRA),6,2,,,,0,,0,,
1971,11,1,603,54.597269,-5.930109,1,3,233,Irish Republican Army (IRA),5,2,,,,0,,0,,
1971,11,2,603,54.597269,-5.930109,3,1,233,Irish Republican Army (IRA),6,3,,,,0,,0,,
1971,11,7,603,54.467967,-6.337967,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,11,9,603,54.99451,-7.319996,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,11,11,603,54.597269,-5.930109,1,3,233,Irish Republican Army (IRA),5,2,,,,0,,0,,
1971,11,18,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,11,24,603,54.823432,-7.468374,2,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,11,24,603,54.467967,-6.337967,3,4,216,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,11,27,603,54.18006,-6.33393,3,4,233,Irish Republican Army (IRA),6,2,,,,0,,0,,
1971,11,27,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,11,28,603,54.597269,-5.930109,1,3,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,11,29,185,43.18418,-2.473289,3,2,185,Basque Fatherland and Freedom (ETA),6,,,,,0,,0,,
1971,11,29,603,54.077313,-6.608787,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,12,4,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,12,6,603,54.597269,-5.930109,3,12,233,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,12,7,603,54.351322,-6.837455,1,4,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,12,8,603,54.597269,-5.930109,1,14,233,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,12,10,185,43.2482,-1.990517,7,1,185,Basque Fatherland and Freedom (ETA),8,,,,,0,,0,,
1971,12,10,603,54.794595,-7.539339,1,4,233,Irish Republican Army (IRA),5,2,,,,0,,0,,
1971,12,11,603,54.597269,-5.930109,3,1,233,Irish Republican Army (IRA),6,4,,,,0,,0,,
1971,12,16,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,12,20,603,54.597269,-5.930109,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1971,12,21,603,54.597269,-5.930109,3,1,233,Irish Republican Army (IRA),6,1,,,,0,,0,,
1971,12,29,603,54.99451,-7.319996,1,4,216,Irish Republican Army (IRA),5,1,,,,0,,0,,
1972,1,1,185,43.15,-2.610278,6,1,185,Basque Fatherland and Freedom (ETA),13,0,,0,,1,1,1,0,
